ANO;MES;VALOR
2018;7;0,33
2018;8;-0,09
2018;9;0,48
2018;10;0,45
2018;11;-0,21
2018;12;0,15
2019;1;0,32
2019;2;0,43
2019;3;0,75
2019;4;0,57
2019;5;0,13
2019;6;0,01
2019;7;0,19
2019;8;0,11
2019;9;-0,04
2019;10;0,1
2019;11;0,51
2019;12;1,15
2020;1;0,21
2020;2;0,25
2020;3;0,07
2020;4;-0,31
2020;5;-0,38
2020;6;0,26
2020;7;0,36
2020;8;0,24
2020;9;0,64
2020;10;0,86
2020;11;0,89
2020;12;1,35
2021;1;0,25
2021;2;0,86
2021;3;0,93
2021;4;0,31
2021;5;0,83
2021;6;0,53
2021;7;0,96
2021;8;0,87
2021;9;1,16
2021;10;1,25
2021;11;0,95
2021;12;0,73
2022;1;0,54
2022;2;1,01
2022;3;1,62
2022;4;1,06
2022;5;0,47
2022;6;0,67
2022;7;-0,68
2022;8;-0,36
2022;9;-0,29
2022;10;0,59
2022;11;0,41
2022;12;0,62
2023;1;0,53
2023;2;0,84
2023;3;0,71
2023;4;0,61
2023;5;0,23
2023;6;0,61
2023;7;0,23